Distance_(microns),Gray_Value
0.00000,136.000
0.04540,176.962
0.09080,126.420
0.13620,144.081
0.18160,159.929
0.22700,86.889
0.27240,98.794
0.31780,148.501
0.36320,203.741
0.40860,202.151
0.45400,93.422
0.49940,98.850
0.54480,153.212
0.59020,104.472
0.63560,99.017
0.68100,183.036
0.72640,107.018
0.77180,132.146
0.81720,224.840
0.86260,195.179
0.90800,238.825
0.95340,89.780
0.99880,149.157
1.04420,151.000
1.08960,139.655
1.13500,193.727
1.18040,96.347
1.22580,75.778
1.27120,108.769
1.31660,126.740
1.36200,105.752
1.40740,120.411
1.45280,96.043
1.49820,116.459
1.54360,84.600
1.58900,55.484
1.63440,28.564
1.67980,24.753
1.72520,18.749
1.77060,20.823
1.81600,16.031
1.86140,71.640
1.90680,386.897
1.95220,3366.721
1.99760,12954.604
2.04300,26174.559
2.08840,36318.750
2.13380,23293.562
2.17920,13414.431
2.22460,3678.586
2.27000,435.646
2.31540,106.132
2.36080,25.660
2.40620,13.233
2.45160,34.827
2.49700,45.648
2.54240,50.943
2.58780,64.977
2.63320,79.723
2.67860,260.298
2.72400,286.978
2.76940,179.970
2.81480,123.605
2.86020,78.888
2.90560,97.673
2.95100,118.918
2.99640,91.133
3.04180,73.530
3.08720,70.654
3.13260,74.000
3.17800,116.031
3.22340,170.020
3.26880,102.431
3.31420,90.134
3.35960,106.857
3.40500,95.849
3.45040,227.242
3.49580,92.062
3.54120,92.184
3.58660,94.397
3.63200,90.888
3.67740,210.376
3.72280,138.321
3.76820,77.079
3.81360,83.092
3.85900,99.494
3.90440,133.617
3.94980,124.308
3.99520,104.412
4.04060,173.894
4.08600,71.552
4.13140,125.113
4.17680,140.000
