Distance_(microns),Gray_Value
0.00000,20.000
0.04540,16.746
0.09080,16.477
0.13620,22.405
0.18160,17.355
0.22700,30.037
0.27240,15.371
0.31780,38.091
0.36320,21.427
0.40860,27.830
0.45400,21.219
0.49940,29.915
0.54480,40.417
0.59020,22.070
0.63560,26.322
0.68100,30.660
0.72640,17.457
0.77180,20.319
0.81720,23.656
0.86260,23.337
0.90800,14.970
0.95340,9.779
0.99880,8.913
1.04420,6.500
1.08960,9.504
1.13500,13.629
1.18040,3.344
1.22580,11.438
1.27120,9.637
1.31660,9.536
1.36200,7.451
1.40740,8.717
1.45280,10.854
1.49820,12.754
1.54360,19.336
1.58900,35.686
1.63440,43.122
1.67980,41.586
1.72520,31.221
1.77060,22.910
1.81600,16.249
1.86140,26.189
1.90680,91.079
1.95220,807.348
1.99760,5081.551
2.04300,22950.254
2.08840,43301.000
2.13380,49558.430
2.17920,22818.697
2.22460,6296.213
2.27000,887.175
2.31540,114.223
2.36080,16.268
2.40620,7.276
2.45160,6.716
2.49700,11.026
2.54240,10.841
2.58780,15.075
2.63320,16.610
2.67860,20.087
2.72400,12.027
2.76940,9.769
2.81480,6.043
2.86020,6.697
2.90560,9.087
2.95100,9.391
2.99640,6.650
3.04180,10.994
3.08720,11.854
3.13260,12.500
3.17800,35.033
3.22340,29.559
3.26880,21.882
3.31420,25.826
3.35960,26.841
3.40500,31.309
3.45040,28.159
3.49580,46.676
3.54120,32.506
3.58660,38.430
3.63200,28.152
3.67740,24.683
3.72280,38.108
3.76820,50.728
3.81360,45.124
3.85900,27.626
3.90440,19.552
3.94980,22.241
3.99520,22.706
4.04060,27.510
4.08600,28.893
4.13140,19.027
4.17680,27.750
