Distance_(microns),Gray_Value
0.00000,38.750
0.04540,38.061
0.09080,34.619
0.13620,26.521
0.18160,31.645
0.22700,34.762
0.27240,38.920
0.31780,33.449
0.36320,38.046
0.40860,40.732
0.45400,24.325
0.49940,28.541
0.54480,23.491
0.59020,26.555
0.63560,24.526
0.68100,23.780
0.72640,31.076
0.77180,12.192
0.81720,21.056
0.86260,20.186
0.90800,24.809
0.95340,9.806
0.99880,11.649
1.04420,8.000
1.08960,8.405
1.13500,8.406
1.18040,15.991
1.22580,14.379
1.27120,11.862
1.31660,18.653
1.36200,18.614
1.40740,7.152
1.45280,9.130
1.49820,15.383
1.54360,19.371
1.58900,34.518
1.63440,38.199
1.67980,35.173
1.72520,20.698
1.77060,21.688
1.81600,20.931
1.86140,67.771
1.90680,351.544
1.95220,3395.826
1.99760,16040.790
2.04300,45494.098
2.08840,48311.500
2.13380,29242.707
2.17920,7766.039
2.22460,1396.721
2.27000,163.171
2.31540,26.482
2.36080,6.966
2.40620,7.216
2.45160,11.776
2.49700,16.516
2.54240,15.310
2.58780,16.435
2.63320,12.043
2.67860,16.511
2.72400,10.786
2.76940,4.298
2.81480,2.839
2.86020,3.107
2.90560,7.267
2.95100,14.079
2.99640,21.733
3.04180,14.893
3.08720,16.271
3.13260,14.000
3.17800,19.375
3.22340,26.236
3.26880,26.434
3.31420,28.120
3.35960,29.845
3.40500,25.956
3.45040,28.397
3.49580,35.533
3.54120,41.208
3.58660,29.280
3.63200,15.375
3.67740,16.925
3.72280,20.939
3.76820,20.217
3.81360,21.992
3.85900,44.214
3.90440,23.052
3.94980,29.956
3.99520,22.527
4.04060,38.857
4.08600,31.864
4.13140,30.999
4.17680,42.500
