Distance_(microns),Gray_Value
0.00000,26.750
0.04540,17.165
0.09080,27.296
0.13620,38.414
0.18160,17.780
0.22700,26.656
0.27240,30.077
0.31780,68.414
0.36320,50.094
0.40860,23.005
0.45400,24.880
0.49940,28.292
0.54480,30.564
0.59020,38.529
0.63560,23.902
0.68100,15.036
0.72640,11.536
0.77180,17.264
0.81720,42.490
0.86260,30.797
0.90800,18.251
0.95340,24.525
0.99880,41.901
1.04420,44.500
1.08960,90.232
1.13500,209.419
1.18040,65.980
1.22580,65.153
1.27120,78.120
1.31660,20.798
1.36200,29.601
1.40740,16.422
1.45280,16.212
1.49820,20.384
1.54360,29.023
1.58900,10.095
1.63440,10.266
1.67980,8.862
1.72520,12.657
1.77060,24.326
1.81600,48.728
1.86140,253.662
1.90680,1161.123
1.95220,7266.598
1.99760,25206.180
2.04300,34387.344
2.08840,42861.000
2.13380,39992.754
2.17920,31922.541
2.22460,16485.639
2.27000,4051.461
2.31540,968.810
2.36080,106.961
2.40620,20.487
2.45160,18.119
2.49700,12.107
2.54240,16.639
2.58780,11.784
2.63320,23.338
2.67860,14.248
2.72400,41.156
2.76940,100.383
2.81480,127.531
2.86020,71.264
2.90560,76.934
2.95100,78.637
2.99640,44.834
3.04180,74.979
3.08720,35.859
3.13260,39.500
3.17800,30.826
3.22340,37.696
3.26880,52.750
3.31420,28.667
3.35960,42.787
3.40500,27.261
3.45040,20.510
3.49580,37.264
3.54120,24.895
3.58660,56.760
3.63200,66.674
3.67740,21.580
3.72280,9.291
3.76820,11.572
3.81360,17.875
3.85900,37.083
3.90440,12.063
3.94980,16.713
3.99520,28.411
4.04060,39.933
4.08600,72.544
4.13140,50.418
4.17680,23.250
