Distance_(microns),Gray_Value
0.00000,77.750
0.04540,95.652
0.09080,54.565
0.13620,94.838
0.18160,68.230
0.22700,72.468
0.27240,68.657
0.31780,131.423
0.36320,155.576
0.40860,66.652
0.45400,81.218
0.49940,68.556
0.54480,119.506
0.59020,76.144
0.63560,75.035
0.68100,25.534
0.72640,54.546
0.77180,111.523
0.81720,84.509
0.86260,115.119
0.90800,95.164
0.95340,52.080
0.99880,84.959
1.04420,94.000
1.08960,93.110
1.13500,114.029
1.18040,106.104
1.22580,132.330
1.27120,174.861
1.31660,176.499
1.36200,104.353
1.40740,171.807
1.45280,125.048
1.49820,99.012
1.54360,182.746
1.58900,106.843
1.63440,76.227
1.67980,39.063
1.72520,37.556
1.77060,51.736
1.81600,81.151
1.86140,151.810
1.90680,1139.433
1.95220,4525.587
1.99760,18762.586
2.04300,31199.504
2.08840,48866.500
2.13380,58298.391
2.17920,38901.020
2.22460,17824.549
2.27000,6997.890
2.31540,1651.470
2.36080,336.501
2.40620,57.154
2.45160,43.595
2.49700,45.750
2.54240,47.047
2.58780,49.898
2.63320,48.022
2.67860,140.446
2.72400,257.155
2.76940,292.477
2.81480,157.700
2.86020,142.271
2.90560,73.772
2.95100,71.932
2.99640,111.137
3.04180,59.346
3.08720,64.754
3.13260,88.500
3.17800,79.261
3.22340,59.553
3.26880,114.532
3.31420,67.334
3.35960,37.845
3.40500,66.681
3.45040,118.482
3.49580,137.117
3.54120,80.566
3.58660,103.991
3.63200,66.843
3.67740,66.258
3.72280,70.343
3.76820,87.123
3.81360,89.649
3.85900,85.238
3.90440,83.880
3.94980,75.332
3.99520,122.534
4.04060,101.113
4.08600,37.840
4.13140,40.913
4.17680,119.250
