Distance_(microns),Gray_Value
0.00000,4.000
0.04540,3.324
0.09080,16.216
0.13620,16.242
0.18160,9.446
0.22700,18.589
0.27240,22.791
0.31780,12.973
0.36320,8.218
0.40860,10.281
0.45400,26.328
0.49940,19.205
0.54480,16.993
0.59020,9.044
0.63560,6.133
0.68100,2.364
0.72640,7.329
0.77180,5.555
0.81720,11.633
0.86260,22.452
0.90800,36.298
0.95340,24.328
0.99880,23.667
1.04420,9.000
1.08960,9.285
1.13500,6.351
1.18040,10.697
1.22580,20.303
1.27120,17.845
1.31660,8.430
1.36200,4.645
1.40740,2.763
1.45280,3.525
1.49820,6.701
1.54360,16.773
1.58900,35.104
1.63440,33.636
1.67980,19.743
1.72520,8.938
1.77060,13.810
1.81600,61.318
1.86140,567.978
1.90680,3554.934
1.95220,12142.570
1.99760,28310.609
2.04300,46829.316
2.08840,50618.250
2.13380,42240.070
2.17920,25312.523
2.22460,13939.854
2.27000,5423.567
2.31540,779.656
2.36080,87.964
2.40620,13.275
2.45160,5.677
2.49700,6.561
2.54240,12.716
2.58780,5.170
2.63320,3.275
2.67860,1.630
2.72400,1.326
2.76940,2.456
2.81480,11.893
2.86020,27.836
2.90560,44.400
2.95100,50.352
2.99640,45.204
3.04180,29.612
3.08720,17.336
3.13260,13.500
3.17800,6.899
3.22340,15.368
3.26880,10.452
3.31420,5.963
3.35960,10.587
3.40500,17.648
3.45040,6.456
3.49580,9.178
3.54120,16.517
3.58660,25.740
3.63200,11.351
3.67740,27.357
3.72280,36.326
3.76820,23.102
3.81360,21.287
3.85900,12.556
3.90440,9.028
3.94980,39.705
3.99520,3.215
4.04060,7.514
4.08600,7.578
4.13140,7.775
4.17680,11.000
