Distance_(microns),Gray_Value
0,24.985
0.0454,30.014
0.0908,16.782
0.1362,30.819
0.1816,23.289
0.227,25.236
0.2724,23.722
0.3178,41.623
0.3632,40.76
0.4086,21.137
0.454,28.183
0.4994,25.309
0.5448,40.546
0.5902,27.309
0.6356,25.837
0.681,0
0.7264,19.537
0.7718,40.543
0.8172,34.318
0.8626,42.842
0.908,36.493
0.9534,21.192
0.9988,37.103
1.0442,39.735
1.0896,42.193
1.135,49.719
1.1804,49.509
1.2258,52.796
1.2712,59.864
1.3166,69.445
1.362,58.7
1.4074,76.887
1.4528,66.195
1.4982,63.57
1.5436,91.99
1.589,80.902
1.6344,76.77
1.6798,63.831
1.7252,74.489
1.7706,101.599
1.816,138.178
1.8614,186.911
1.9068,354.7
1.9522,585.898
1.9976,930.381
2.043,1203.349
2.0884,1395.485
2.1338,1457.568
2.1792,1275.785
2.2246,967.641
2.27,662.522
2.3154,409.815
2.3608,236.791
2.4062,125.216
2.4516,96.83
2.497,82.535
2.5424,71.187
2.5878,62.882
2.6332,55.954
2.6786,81.714
2.724,97.41
2.7694,97.192
2.8148,74.281
2.8602,66.944
2.9056,44.33
2.951,40.418
2.9964,49.307
3.0418,30.485
3.0872,34.121
3.1326,41.235
3.178,36.075
3.2234,24.187
3.2688,45.349
3.3142,28.189
3.3596,12.764
3.405,25.762
3.4504,42.83
3.4958,46.066
3.5412,25.253
3.5866,37.166
3.632,25.463
3.6774,24.101
3.7228,24.339
3.7682,28.381
3.8136,28.713
3.859,30.725
3.9044,29.056
3.9498,22.579
3.9952,39.803
4.0406,32.585
4.086,7.26700000000002
4.1314,9.83600000000001
4.1768,34.235
