Distance_(microns),Gray_Value
0,0
0.0454,16.938
0.0908,26.683
0.1362,10.044
0.1816,22.935
0.227,10.666
0.2724,0.01400000000001
0.3178,17.952
0.3632,31.917
0.4086,21.895
0.454,18.883
0.4994,11.609
0.5448,26.665
0.5902,26.389
0.6356,20.817
0.681,4.83000000000001
0.7264,19.552
0.7718,22.774
0.8172,25.428
0.8626,27.381
0.908,25.23
0.9534,30.678
0.9988,10.443
1.0442,18.25
1.0896,29.236
1.135,45.922
1.1804,26.865
1.2258,41.371
1.2712,53.389
1.3166,52.142
1.362,47.495
1.4074,48.351
1.4528,55.584
1.4982,73.712
1.5436,102.739
1.589,48.722
1.6344,42.347
1.6798,43.681
1.7252,60.475
1.7706,58.229
1.816,80.414
1.8614,191.184
1.9068,352.766
1.9522,581.546
1.9976,900.863
2.043,1117.681
2.0884,1226.75
2.1338,1200.526
2.1792,1064.093
2.2246,816.552
2.27,540.948
2.3154,294.962
2.3608,170.961
2.4062,94.672
2.4516,73.762
2.497,61.935
2.5424,65.596
2.5878,63.942
2.6332,45.605
2.6786,78.588
2.724,74.925
2.7694,63.032
2.8148,58.354
2.8602,54.505
2.9056,37.897
2.951,29.159
2.9964,17.313
3.0418,22.353
3.0872,10.773
3.1326,24.25
3.178,18.002
3.2234,19.513
3.2688,39.993
3.3142,21.004
3.3596,21.859
3.405,17.862
3.4504,16.674
3.4958,26.984
3.5412,31.649
3.5866,15.959
3.632,15.221
3.6774,7.73500000000001
3.7228,12.757
3.7682,20.66
3.8136,21.87
3.859,20.74
3.9044,11.071
3.9498,10.795
3.9952,21.944
4.0406,26.835
4.086,16.812
4.1314,5.92099999999999
4.1768,4
