Distance_(microns),Gray_Value
0,31.907
0.0454,32.528
0.0908,0
0.1362,24.693
0.1816,23.891
0.227,17.213
0.2724,18.499
0.3178,39.483
0.3632,32.318
0.4086,18.174
0.454,27.623
0.4994,41.357
0.5448,28.381
0.5902,39.269
0.6356,40.273
0.681,24.721
0.7264,35.568
0.7718,37.879
0.8172,40.501
0.8626,38.132
0.908,22.012
0.9534,37.765
0.9988,30.998
1.0442,28.407
1.0896,41.401
1.135,60.591
1.1804,44.545
1.2258,39.461
1.2712,48.045
1.3166,54.913
1.362,47.234
1.4074,40.148
1.4528,57.714
1.4982,67.736
1.5436,89.073
1.589,59.86
1.6344,46.62
1.6798,69.004
1.7252,86.629
1.7706,103.084
1.816,130.876
1.8614,239.739
1.9068,429.565
1.9522,707.307
1.9976,982.227
2.043,1284.65
2.0884,1450.907
2.1338,1408.985
2.1792,1251.786
2.2246,929.388
2.27,635.018
2.3154,360.244
2.3608,218.409
2.4062,135.019
2.4516,91.868
2.497,101.329
2.5424,85.387
2.5878,87.916
2.6332,92.416
2.6786,84.933
2.724,86.78
2.7694,91.307
2.8148,75.528
2.8602,46.394
2.9056,55.459
2.951,61.366
2.9964,46.354
3.0418,60.226
3.0872,46.56
3.1326,49.907
3.178,41.285
3.2234,9.93100000000001
3.2688,44.455
3.3142,36.901
3.3596,45.99
3.405,39.581
3.4504,31.225
3.4958,19.769
3.5412,35.674
3.5866,27.558
3.632,35.95
3.6774,36.088
3.7228,38.45
3.7682,23.509
3.8136,21.26
3.859,34.062
3.9044,41.398
3.9498,27.676
3.9952,26.595
4.0406,17.987
4.086,8.25
4.1314,41.762
4.1768,34.907
