Distance_(microns),Gray_Value
0.00000,215.000
0.04540,216.612
0.09080,193.532
0.13620,210.372
0.18160,234.141
0.22700,209.609
0.27240,205.076
0.31780,216.608
0.36320,226.082
0.40860,234.337
0.45400,230.680
0.49940,218.736
0.54480,234.886
0.59020,241.077
0.63560,231.506
0.68100,258.972
0.72640,226.118
0.77180,238.457
0.81720,249.451
0.86260,248.446
0.90800,256.479
0.95340,262.208
0.99880,257.719
1.04420,283.000
1.08960,306.424
1.13500,334.962
1.18040,346.284
1.22580,346.386
1.27120,373.597
1.31660,403.429
1.36200,420.035
1.40740,448.466
1.45280,513.613
1.49820,585.831
1.54360,644.598
1.58900,705.645
1.63440,739.192
1.67980,742.467
1.72520,766.630
1.77060,812.515
1.81600,888.105
1.86140,1163.406
1.90680,1683.198
1.95220,2482.258
1.99760,3722.041
2.04300,5029.808
2.08840,5732.750
2.13380,5816.906
2.17920,5054.316
2.22460,3814.167
2.27000,2674.767
2.31540,1700.618
2.36080,1133.273
2.40620,845.219
2.45160,704.394
2.49700,638.330
2.54240,614.105
2.58780,596.946
2.63320,585.086
2.67860,556.865
2.72400,522.338
2.76940,450.437
2.81480,389.742
2.86020,348.642
2.90560,322.517
2.95100,319.436
2.99640,324.032
3.04180,306.662
3.08720,299.931
3.13260,284.000
3.17800,254.188
3.22340,256.905
3.26880,252.374
3.31420,248.904
3.35960,241.113
3.40500,234.975
3.45040,227.125
3.49580,239.511
3.54120,230.810
3.58660,221.058
3.63200,231.361
3.67740,240.882
3.72280,220.336
3.76820,223.657
3.81360,227.172
3.85900,220.707
3.90440,210.038
3.94980,215.992
3.99520,210.954
4.04060,217.816
4.08600,216.618
4.13140,205.312
4.17680,209.000
