Distance_(microns),Gray_Value
0.00000,73.500
0.04540,81.032
0.09080,89.499
0.13620,85.537
0.18160,87.462
0.22700,92.717
0.27240,95.654
0.31780,91.785
0.36320,97.737
0.40860,103.687
0.45400,101.619
0.49940,101.358
0.54480,109.554
0.59020,103.905
0.63560,106.936
0.68100,95.739
0.72640,99.022
0.77180,99.576
0.81720,91.102
0.86260,104.474
0.90800,127.979
0.95340,124.372
0.99880,114.506
1.04420,108.500
1.08960,118.113
1.13500,127.698
1.18040,137.718
1.22580,153.719
1.27120,163.370
1.31660,185.815
1.36200,158.961
1.40740,160.586
1.45280,162.725
1.49820,173.435
1.54360,167.362
1.58900,219.273
1.63440,213.465
1.67980,219.101
1.72520,222.716
1.77060,276.405
1.81600,350.007
1.86140,558.568
1.90680,865.304
1.95220,1275.905
1.99760,1760.322
2.04300,2131.035
2.08840,2344.750
2.13380,2391.029
2.17920,2297.888
2.22460,2010.627
2.27000,1610.110
2.31540,1221.545
2.36080,843.638
2.40620,505.905
2.45160,343.505
2.49700,235.629
2.54240,201.353
2.58780,204.886
2.63320,207.983
2.67860,189.688
2.72400,171.363
2.76940,158.503
2.81480,156.981
2.86020,172.715
2.90560,200.321
2.95100,205.284
2.99640,217.585
3.04180,194.951
3.08720,167.608
3.13260,150.000
3.17800,126.577
3.22340,128.100
3.26880,117.682
3.31420,121.810
3.35960,111.188
3.40500,104.722
3.45040,105.454
3.49580,96.252
3.54120,94.207
3.58660,90.427
3.63200,88.234
3.67740,93.443
3.72280,102.180
3.76820,100.857
3.81360,106.550
3.85900,100.228
3.90440,82.886
3.94980,90.165
3.99520,105.359
4.04060,100.185
4.08600,99.831
4.13140,91.004
4.17680,100.750
