Distance_(microns),Gray_Value
0.00000,88.750
0.04540,92.455
0.09080,85.133
0.13620,84.166
0.18160,81.577
0.22700,99.515
0.27240,100.465
0.31780,97.779
0.36320,99.319
0.40860,109.523
0.45400,113.484
0.49940,117.230
0.54480,113.191
0.59020,114.352
0.63560,105.697
0.68100,104.044
0.72640,93.069
0.77180,89.183
0.81720,108.289
0.86260,115.500
0.90800,119.498
0.95340,113.504
0.99880,119.209
1.04420,116.500
1.08960,120.448
1.13500,134.571
1.18040,158.698
1.22580,168.098
1.27120,186.306
1.31660,203.214
1.36200,194.924
1.40740,190.178
1.45280,164.164
1.49820,170.585
1.54360,184.283
1.58900,207.760
1.63440,246.310
1.67980,262.585
1.72520,264.938
1.77060,272.224
1.81600,381.884
1.86140,611.329
1.90680,919.086
1.95220,1351.581
1.99760,1823.515
2.04300,2283.465
2.08840,2548.000
2.13380,2685.162
2.17920,2608.142
2.22460,2295.393
2.27000,1873.863
2.31540,1450.437
2.36080,1018.586
2.40620,655.237
2.45160,411.126
2.49700,272.278
2.54240,212.165
2.58780,195.489
2.63320,201.221
2.67860,207.357
2.72400,194.335
2.76940,171.564
2.81480,160.143
2.86020,170.768
2.90560,221.311
2.95100,243.196
2.99640,267.615
3.04180,232.781
3.08720,219.978
3.13260,194.500
3.17800,162.557
3.22340,145.065
3.26880,130.141
3.31420,128.536
3.35960,119.577
3.40500,120.841
3.45040,110.343
3.49580,102.270
3.54120,92.158
3.58660,95.586
3.63200,97.405
3.67740,99.526
3.72280,106.388
3.76820,109.961
3.81360,115.301
3.85900,109.120
3.90440,116.821
3.94980,107.924
3.99520,104.649
4.04060,92.425
4.08600,90.746
4.13140,105.006
4.17680,103.000
