Distance_(microns),Gray_Value
0.00000,9.750
0.04540,55.653
0.09080,130.993
0.13620,161.606
0.18160,135.301
0.22700,150.934
0.27240,164.985
0.31780,165.275
0.36320,146.372
0.40860,146.745
0.45400,108.777
0.49940,64.773
0.54480,4.064
0.59020,13.537
0.63560,0.000
0.68100,0.000
0.72640,0.000
0.77180,0.000
0.81720,0.000
0.86260,0.000
0.90800,0.000
0.95340,0.000
0.99880,0.000
1.04420,0.000
1.08960,96.517
1.13500,272.327
1.18040,181.508
1.22580,26.336
1.27120,0.000
1.31660,0.000
1.36200,0.000
1.40740,67.188
1.45280,341.353
1.49820,311.595
1.54360,14.997
1.58900,0.000
1.63440,0.000
1.67980,0.000
1.72520,0.000
1.77060,0.000
1.81600,0.000
1.86140,175.577
1.90680,4066.926
1.95220,18692.654
1.99760,37972.098
2.04300,55416.098
2.08840,62840.500
2.13380,60746.773
2.17920,46496.031
2.22460,26980.092
2.27000,9838.766
2.31540,1186.163
2.36080,0.000
2.40620,0.000
2.45160,0.000
2.49700,0.000
2.54240,0.000
2.58780,0.000
2.63320,0.000
2.67860,147.206
2.72400,419.157
2.76940,366.725
2.81480,23.840
2.86020,0.000
2.90560,0.000
2.95100,0.000
2.99640,0.000
3.04180,0.000
3.08720,0.000
3.13260,0.000
3.17800,0.000
3.22340,0.000
3.26880,0.000
3.31420,0.000
3.35960,0.000
3.40500,0.000
3.45040,0.000
3.49580,0.000
3.54120,0.000
3.58660,0.000
3.63200,0.000
3.67740,2.027
3.72280,0.000
3.76820,0.000
3.81360,0.000
3.85900,4.827
3.90440,100.522
3.94980,171.764
3.99520,240.036
4.04060,311.019
4.08600,295.148
4.13140,203.714
4.17680,97.250
