Distance_(microns),Gray_Value
0.00000,91.500
0.04540,109.966
0.09080,135.181
0.13620,145.084
0.18160,155.317
0.22700,178.436
0.27240,201.158
0.31780,218.708
0.36320,236.827
0.40860,248.064
0.45400,237.943
0.49940,200.860
0.54480,173.330
0.59020,194.556
0.63560,186.765
0.68100,146.007
0.72640,70.914
0.77180,11.144
0.81720,0.000
0.86260,0.000
0.90800,4.069
0.95340,7.316
0.99880,0.000
1.04420,0.000
1.08960,0.000
1.13500,0.000
1.18040,0.000
1.22580,0.000
1.27120,0.000
1.31660,0.000
1.36200,0.000
1.40740,0.000
1.45280,0.000
1.49820,57.666
1.54360,87.668
1.58900,4.253
1.63440,16.350
1.67980,328.056
1.72520,681.259
1.77060,101.824
1.81600,6.303
1.86140,0.000
1.90680,0.000
1.95220,6691.543
1.99760,25189.088
2.04300,46137.383
2.08840,56620.500
2.13380,55422.398
2.17920,39143.348
2.22460,17771.277
2.27000,2906.711
2.31540,0.000
2.36080,0.000
2.40620,0.000
2.45160,327.372
2.49700,306.802
2.54240,39.819
2.58780,16.323
2.63320,288.900
2.67860,477.529
2.72400,262.693
2.76940,4.400
2.81480,0.000
2.86020,0.000
2.90560,0.000
2.95100,20.929
2.99640,15.869
3.04180,0.357
3.08720,0.000
3.13260,78.000
3.17800,247.038
3.22340,343.211
3.26880,296.567
3.31420,190.608
3.35960,101.007
3.40500,78.576
3.45040,126.336
3.49580,197.731
3.54120,217.493
3.58660,188.045
3.63200,158.533
3.67740,150.477
3.72280,177.428
3.76820,251.586
3.81360,300.326
3.85900,303.583
3.90440,288.400
3.94980,252.155
3.99520,222.818
4.04060,195.724
4.08600,174.215
4.13140,133.997
4.17680,92.000
