Distance_(microns),Gray_Value
0.00000,28.250
0.04540,38.293
0.09080,177.206
0.13620,172.649
0.18160,97.721
0.22700,67.985
0.27240,30.402
0.31780,31.565
0.36320,97.590
0.40860,231.388
0.45400,325.745
0.49940,382.767
0.54480,370.358
0.59020,371.486
0.63560,388.174
0.68100,374.098
0.72640,366.151
0.77180,503.092
0.81720,730.259
0.86260,940.016
0.90800,1105.551
0.95340,1017.631
0.99880,756.847
1.04420,335.500
1.08960,131.156
1.13500,254.996
1.18040,655.796
1.22580,1133.230
1.27120,1378.076
1.31660,1103.305
1.36200,353.129
1.40740,5.490
1.45280,0.000
1.49820,69.768
1.54360,767.778
1.58900,1795.662
1.63440,1583.886
1.67980,238.601
1.72520,0.000
1.77060,0.000
1.81600,0.000
1.86140,729.255
1.90680,7157.952
1.95220,23303.756
1.99760,40765.281
2.04300,54275.125
2.08840,58955.750
2.13380,56103.824
2.17920,44073.113
2.22460,27409.523
2.27000,11568.127
2.31540,1495.004
2.36080,0.000
2.40620,0.000
2.45160,0.000
2.49700,0.000
2.54240,0.000
2.58780,0.000
2.63320,0.000
2.67860,0.000
2.72400,0.000
2.76940,0.000
2.81480,407.939
2.86020,1310.491
2.90560,1513.065
2.95100,1214.024
2.99640,709.664
3.04180,276.633
3.08720,87.911
3.13260,64.000
3.17800,300.638
3.22340,588.864
3.26880,641.161
3.31420,701.651
3.35960,777.894
3.40500,866.698
3.45040,972.725
3.49580,1058.231
3.54120,1006.259
3.58660,821.144
3.63200,501.755
3.67740,331.881
3.72280,179.877
3.76820,213.583
3.81360,278.696
3.85900,249.052
3.90440,194.548
3.94980,92.999
3.99520,1.110
4.04060,0.000
4.08600,2.682
4.13140,48.238
4.17680,97.250
