Distance_(microns),Gray_Value
0.00000,0.000
0.04540,0.468
0.09080,0.391
0.13620,3.930
0.18160,0.000
0.22700,0.000
0.27240,0.000
0.31780,0.000
0.36320,10.031
0.40860,55.257
0.45400,85.656
0.49940,73.428
0.54480,27.832
0.59020,4.976
0.63560,0.000
0.68100,3.535
0.72640,7.614
0.77180,40.602
0.81720,76.404
0.86260,102.250
0.90800,113.814
0.95340,115.628
0.99880,160.112
1.04420,266.500
1.08960,382.113
1.13500,492.591
1.18040,561.628
1.22580,603.043
1.27120,685.547
1.31660,788.470
1.36200,861.980
1.40740,778.538
1.45280,392.651
1.49820,54.382
1.54360,0.000
1.58900,0.000
1.63440,0.000
1.67980,0.000
1.72520,0.000
1.77060,0.000
1.81600,0.000
1.86140,701.898
1.90680,6629.792
1.95220,20222.145
1.99760,36927.258
2.04300,51734.895
2.08840,58718.250
2.13380,58077.570
2.17920,47492.090
2.22460,30987.596
2.27000,14630.477
2.31540,3310.704
2.36080,0.000
2.40620,0.000
2.45160,0.000
2.49700,0.000
2.54240,0.000
2.58780,0.000
2.63320,0.000
2.67860,0.000
2.72400,256.599
2.76940,843.151
2.81480,1171.965
2.86020,1141.099
2.90560,926.702
2.95100,677.548
2.99640,471.753
3.04180,326.521
3.08720,240.543
3.13260,173.000
3.17800,156.580
3.22340,188.785
3.26880,263.349
3.31420,323.767
3.35960,314.571
3.40500,244.822
3.45040,141.306
3.49580,102.135
3.54120,126.784
3.58660,190.781
3.63200,242.410
3.67740,220.945
3.72280,144.173
3.76820,56.894
3.81360,10.586
3.85900,2.172
3.90440,15.695
3.94980,39.655
3.99520,67.371
4.04060,94.200
4.08600,123.878
4.13140,117.217
4.17680,76.500
