Distance_(microns),Gray_Value
0.00000,416.500
0.04540,433.488
0.09080,322.863
0.13620,241.244
0.18160,199.416
0.22700,285.131
0.27240,382.155
0.31780,483.528
0.36320,473.226
0.40860,389.491
0.45400,280.111
0.49940,146.571
0.54480,66.619
0.59020,64.806
0.63560,115.431
0.68100,135.835
0.72640,245.707
0.77180,390.363
0.81720,535.965
0.86260,659.330
0.90800,672.716
0.95340,568.538
0.99880,515.030
1.04420,508.500
1.08960,632.564
1.13500,793.183
1.18040,959.141
1.22580,947.817
1.27120,769.712
1.31660,484.766
1.36200,281.876
1.40740,386.203
1.45280,634.656
1.49820,693.002
1.54360,366.047
1.58900,17.864
1.63440,0.000
1.67980,0.000
1.72520,0.000
1.77060,0.000
1.81600,0.000
1.86140,0.000
1.90680,2326.453
1.95220,14077.458
1.99760,31325.668
2.04300,49226.539
2.08840,60173.250
2.13380,63061.746
2.17920,53962.312
2.22460,36958.742
2.27000,19495.477
2.31540,5966.020
2.36080,0.000
2.40620,0.000
2.45160,0.000
2.49700,0.000
2.54240,0.000
2.58780,0.000
2.63320,35.110
2.67860,797.682
2.72400,1434.263
2.76940,1582.572
2.81480,1121.359
2.86020,572.944
2.90560,139.531
2.95100,21.266
2.99640,62.133
3.04180,128.530
3.08720,216.297
3.13260,299.000
3.17800,454.026
3.22340,597.044
3.26880,667.627
3.31420,544.043
3.35960,342.715
3.40500,224.112
3.45040,241.975
3.49580,322.152
3.54120,354.361
3.58660,348.148
3.63200,270.018
3.67740,261.722
3.72280,258.210
3.76820,277.613
3.81360,294.607
3.85900,389.114
3.90440,536.568
3.94980,646.242
3.99520,703.181
4.04060,618.069
4.08600,561.887
4.13140,631.484
4.17680,710.500
