Distance_(microns),Gray_Value
0.00000,287.000
0.04540,365.944
0.09080,483.321
0.13620,493.795
0.18160,393.722
0.22700,254.955
0.27240,187.623
0.31780,277.811
0.36320,423.520
0.40860,419.805
0.45400,327.905
0.49940,193.163
0.54480,203.795
0.59020,379.771
0.63560,567.604
0.68100,651.932
0.72640,552.433
0.77180,354.650
0.81720,225.160
0.86260,248.623
0.90800,350.689
0.95340,471.871
0.99880,448.958
1.04420,344.000
1.08960,277.311
1.13500,336.183
1.18040,550.934
1.22580,744.097
1.27120,740.993
1.31660,558.373
1.36200,509.716
1.40740,739.801
1.45280,1029.544
1.49820,971.376
1.54360,426.797
1.58900,20.936
1.63440,0.000
1.67980,0.000
1.72520,0.000
1.77060,0.000
1.81600,0.000
1.86140,200.688
1.90680,3845.934
1.95220,15829.015
1.99760,31551.293
2.04300,46236.242
2.08840,53710.500
2.13380,53698.391
2.17920,43769.367
2.22460,28113.715
2.27000,13050.727
2.31540,2944.590
2.36080,0.000
2.40620,0.000
2.45160,0.000
2.49700,0.000
2.54240,0.000
2.58780,0.000
2.63320,31.854
2.67860,816.067
2.72400,1369.328
2.76940,1507.500
2.81480,1231.538
2.86020,791.349
2.90560,393.278
2.95100,152.850
2.99640,40.591
3.04180,84.719
3.08720,121.495
3.13260,191.500
3.17800,342.400
3.22340,589.322
3.26880,933.742
3.31420,1031.369
3.35960,963.902
3.40500,767.616
3.45040,584.787
3.49580,490.436
3.54120,390.002
3.58660,254.404
3.63200,162.073
3.67740,201.292
3.72280,347.351
3.76820,521.967
3.81360,584.222
3.85900,525.378
3.90440,378.091
3.94980,345.062
3.99520,441.989
4.04060,514.485
4.08600,502.641
4.13140,378.672
4.17680,338.000
