Distance_(microns),Gray_Value
0.00000,125.250
0.04540,142.740
0.09080,143.628
0.13620,157.378
0.18160,171.208
0.22700,172.392
0.27240,180.475
0.31780,170.624
0.36320,168.157
0.40860,169.104
0.45400,163.290
0.49940,140.759
0.54480,143.046
0.59020,113.582
0.63560,96.635
0.68100,77.531
0.72640,55.371
0.77180,35.202
0.81720,19.575
0.86260,11.323
0.90800,5.630
0.95340,3.587
0.99880,1.913
1.04420,1.000
1.08960,0.822
1.13500,0.000
1.18040,0.000
1.22580,0.000
1.27120,0.000
1.31660,0.000
1.36200,0.000
1.40740,0.000
1.45280,0.000
1.49820,0.227
1.54360,0.595
1.58900,4.457
1.63440,21.681
1.67980,45.600
1.72520,52.372
1.77060,28.220
1.81600,21.578
1.86140,90.871
1.90680,2042.899
1.95220,13448.868
1.99760,34135.594
2.04300,52315.926
2.08840,61045.250
2.13380,61075.312
2.17920,49374.363
2.22460,29799.852
2.27000,9953.424
2.31540,1216.316
2.36080,15.377
2.40620,2.101
2.45160,2.414
2.49700,2.826
2.54240,2.196
2.58780,1.565
2.63320,1.000
2.67860,1.000
2.72400,1.000
2.76940,1.000
2.81480,1.000
2.86020,1.175
2.90560,2.435
2.95100,4.872
2.99640,9.565
3.04180,18.043
3.08720,29.513
3.13260,41.500
3.17800,49.256
3.22340,60.283
3.26880,72.674
3.31420,81.802
3.35960,96.600
3.40500,114.360
3.45040,142.670
3.49580,148.793
3.54120,167.108
3.58660,169.445
3.63200,157.275
3.67740,155.394
3.72280,154.132
3.76820,152.524
3.81360,147.844
3.85900,135.509
3.90440,158.559
3.94980,147.304
3.99520,134.849
4.04060,126.872
4.08600,121.580
4.13140,109.780
4.17680,101.750
