Distance_(microns),Gray_Value
0.00000,218.000
0.04540,180.043
0.09080,142.988
0.13620,128.354
0.18160,80.236
0.22700,52.531
0.27240,36.193
0.31780,25.517
0.36320,23.348
0.40860,27.953
0.45400,51.597
0.49940,119.848
0.54480,279.698
0.59020,538.531
0.63560,721.008
0.68100,574.283
0.72640,379.735
0.77180,284.614
0.81720,278.201
0.86260,432.780
0.90800,733.957
0.95340,1246.643
0.99880,1104.390
1.04420,492.500
1.08960,175.578
1.13500,32.951
1.18040,7.879
1.22580,2.391
1.27120,0.000
1.31660,0.000
1.36200,0.000
1.40740,0.000
1.45280,0.000
1.49820,0.000
1.54360,0.000
1.58900,0.000
1.63440,0.674
1.67980,1.834
1.72520,2.543
1.77060,1.998
1.81600,1.423
1.86140,0.269
1.90680,0.723
1.95220,2319.741
1.99760,18867.715
2.04300,38826.148
2.08840,50196.250
2.13380,54909.590
2.17920,53021.398
2.22460,41412.066
2.27000,20539.641
2.31540,3317.335
2.36080,0.055
2.40620,0.893
2.45160,3.195
2.49700,3.008
2.54240,2.216
2.58780,0.891
2.63320,0.109
2.67860,0.000
2.72400,0.000
2.76940,0.000
2.81480,0.000
2.86020,0.000
2.90560,0.000
2.95100,0.000
2.99640,0.000
3.04180,0.000
3.08720,0.000
3.13260,0.000
3.17800,0.000
3.22340,0.374
3.26880,4.331
3.31420,18.951
3.35960,44.992
3.40500,71.308
3.45040,112.184
3.49580,195.198
3.54120,323.967
3.58660,401.671
3.63200,448.621
3.67740,315.470
3.72280,215.909
3.76820,140.759
3.81360,94.097
3.85900,78.768
3.90440,71.460
3.94980,63.973
3.99520,53.200
4.04060,52.866
4.08600,52.873
4.13140,49.633
4.17680,61.000
