Distance_(microns),Gray_Value
0.00000,125.000
0.04540,120.202
0.09080,158.649
0.13620,123.755
0.18160,125.740
0.22700,102.641
0.27240,63.590
0.31780,35.202
0.36320,31.460
0.40860,41.930
0.45400,77.512
0.49940,158.642
0.54480,302.448
0.59020,416.161
0.63560,419.387
0.68100,386.085
0.72640,289.847
0.77180,257.946
0.81720,356.007
0.86260,593.928
0.90800,1001.475
0.95340,1292.557
0.99880,924.996
1.04420,429.500
1.08960,116.758
1.13500,22.457
1.18040,4.258
1.22580,0.957
1.27120,0.000
1.31660,0.000
1.36200,0.000
1.40740,0.043
1.45280,0.674
1.49820,1.205
1.54360,0.891
1.58900,0.170
1.63440,0.000
1.67980,0.457
1.72520,1.239
1.77060,1.913
1.81600,1.283
1.86140,0.269
1.90680,37.599
1.95220,6339.955
1.99760,27813.848
2.04300,45881.164
2.08840,54389.750
2.13380,56823.781
2.17920,52961.285
2.22460,38002.531
2.27000,13795.955
2.31540,1283.247
2.36080,0.980
2.40620,5.634
2.45160,4.065
2.49700,2.166
2.54240,1.216
2.58780,0.388
2.63320,0.109
2.67860,0.000
2.72400,0.000
2.76940,0.000
2.81480,0.000
2.86020,0.000
2.90560,0.000
2.95100,0.177
2.99640,0.983
3.04180,0.309
3.08720,0.000
3.13260,0.000
3.17800,0.000
3.22340,0.130
3.26880,1.696
3.31420,12.033
3.35960,36.759
3.40500,87.559
3.45040,150.397
3.49580,282.660
3.54120,445.172
3.58660,545.873
3.63200,526.003
3.67740,438.068
3.72280,309.626
3.76820,206.375
3.81360,147.142
3.85900,108.820
3.90440,76.997
3.94980,60.421
3.99520,41.294
4.04060,44.691
4.08600,41.638
4.13140,46.679
4.17680,62.000
