Distance_(microns),Gray_Value
0.00000,148.000
0.04540,152.967
0.09080,175.626
0.13620,200.007
0.18160,199.700
0.22700,195.438
0.27240,191.642
0.31780,179.479
0.36320,174.587
0.40860,177.453
0.45400,168.979
0.49940,156.233
0.54480,150.905
0.59020,160.485
0.63560,161.715
0.68100,168.863
0.72640,180.919
0.77180,169.887
0.81720,176.651
0.86260,176.865
0.90800,164.911
0.95340,168.112
0.99880,170.544
1.04420,168.000
1.08960,180.992
1.13500,181.766
1.18040,187.625
1.22580,154.219
1.27120,122.763
1.31660,71.308
1.36200,31.288
1.40740,7.197
1.45280,2.059
1.49820,0.000
1.54360,0.000
1.58900,0.000
1.63440,0.000
1.67980,0.000
1.72520,0.218
1.77060,5.172
1.81600,215.477
1.86140,3873.430
1.90680,14645.587
1.95220,29699.295
1.99760,42750.555
2.04300,52229.164
2.08840,58998.750
2.13380,60156.863
2.17920,52711.250
2.22460,43343.090
2.27000,31616.943
2.31540,16358.878
2.36080,4513.270
2.40620,239.648
2.45160,19.358
2.49700,0.377
2.54240,0.000
2.58780,0.000
2.63320,0.000
2.67860,0.000
2.72400,3.985
2.76940,22.193
2.81480,88.888
2.86020,147.685
2.90560,149.497
2.95100,139.320
2.99640,115.850
3.04180,88.006
3.08720,81.530
3.13260,84.500
3.17800,90.777
3.22340,111.470
3.26880,124.693
3.31420,159.672
3.35960,175.028
3.40500,136.581
3.45040,106.329
3.49580,105.152
3.54120,108.071
3.58660,119.921
3.63200,146.618
3.67740,132.098
3.72280,133.176
3.76820,146.966
3.81360,144.330
3.85900,155.614
3.90440,188.753
3.94980,237.305
3.99520,241.973
4.04060,241.534
4.08600,214.398
4.13140,199.368
4.17680,195.500
