Distance_(microns),Gray_Value
0.00000,256.000
0.04540,279.386
0.09080,299.779
0.13620,283.991
0.18160,275.136
0.22700,254.150
0.27240,260.143
0.31780,295.134
0.36320,273.670
0.40860,270.170
0.45400,261.514
0.49940,257.353
0.54480,251.454
0.59020,260.250
0.63560,292.782
0.68100,316.156
0.72640,308.915
0.77180,279.209
0.81720,254.770
0.86260,235.800
0.90800,242.378
0.95340,230.122
0.99880,262.931
1.04420,247.000
1.08960,237.462
1.13500,221.372
1.18040,240.066
1.22580,232.146
1.27120,234.586
1.31660,232.944
1.36200,216.962
1.40740,213.765
1.45280,185.735
1.49820,114.653
1.54360,47.154
1.58900,13.995
1.63440,2.133
1.67980,0.268
1.72520,0.109
1.77060,1.703
1.81600,54.036
1.86140,1316.944
1.90680,7183.645
1.95220,18959.926
1.99760,32680.004
2.04300,44259.551
2.08840,50105.500
2.13380,49278.168
2.17920,41153.605
2.22460,27430.059
2.27000,14651.706
2.31540,4911.894
2.36080,556.523
2.40620,37.219
2.45160,7.616
2.49700,4.827
2.54240,11.730
2.58780,37.022
2.63320,124.593
2.67860,344.522
2.72400,680.094
2.76940,942.983
2.81480,906.058
2.86020,608.545
2.90560,418.685
2.95100,280.745
2.99640,201.959
3.04180,171.909
3.08720,170.131
3.13260,171.000
3.17800,200.581
3.22340,259.270
3.26880,301.239
3.31420,359.866
3.35960,368.734
3.40500,319.184
3.45040,277.534
3.49580,236.492
3.54120,225.712
3.58660,222.909
3.63200,199.263
3.67740,232.914
3.72280,273.070
3.76820,296.797
3.81360,308.998
3.85900,312.733
3.90440,292.106
3.94980,283.985
3.99520,306.407
4.04060,315.232
4.08600,329.199
4.13140,279.053
4.17680,266.500
