Distance_(microns),Gray_Value
0.00000,265.750
0.04540,238.636
0.09080,204.650
0.13620,199.932
0.18160,224.766
0.22700,279.258
0.27240,357.510
0.31780,381.433
0.36320,369.478
0.40860,338.620
0.45400,306.892
0.49940,322.629
0.54480,318.615
0.59020,337.626
0.63560,353.906
0.68100,359.204
0.72640,345.294
0.77180,388.971
0.81720,327.581
0.86260,291.213
0.90800,229.836
0.95340,204.475
0.99880,183.330
1.04420,166.000
1.08960,159.587
1.13500,154.299
1.18040,170.107
1.22580,152.753
1.27120,136.493
1.31660,130.111
1.36200,129.947
1.40740,115.438
1.45280,79.540
1.49820,37.806
1.54360,9.458
1.58900,1.990
1.63440,0.000
1.67980,0.000
1.72520,0.000
1.77060,0.490
1.81600,51.147
1.86140,1690.476
1.90680,9148.429
1.95220,22813.250
1.99760,37345.109
2.04300,49773.879
2.08840,56043.750
2.13380,55337.133
2.17920,45097.938
2.22460,31322.195
2.27000,17428.682
2.31540,6283.666
2.36080,762.078
2.40620,36.112
2.45160,4.529
2.49700,1.442
2.54240,5.703
2.58780,30.710
2.63320,122.180
2.67860,426.904
2.72400,792.442
2.76940,1019.954
2.81480,1086.204
2.86020,690.816
2.90560,520.484
2.95100,394.560
2.99640,342.288
3.04180,285.179
3.08720,260.888
3.13260,211.000
3.17800,204.769
3.22340,213.468
3.26880,228.841
3.31420,287.334
3.35960,338.267
3.40500,392.870
3.45040,443.550
3.49580,467.353
3.54120,423.455
3.58660,378.125
3.63200,331.982
3.67740,327.476
3.72280,306.069
3.76820,268.954
3.81360,260.494
3.85900,236.874
3.90440,263.785
3.94980,266.585
3.99520,262.046
4.04060,247.729
4.08600,233.123
4.13140,279.711
4.17680,302.500
