,Unbleached,BG,Cell1,Cell2,Cell8,Cell9,Cell10,Cell11,Cell13
1,1261.33333333333,1056.56,1397.52,1109.12,1258.72,1230.88,1262.4,1097.92,1108.08
2,1252.44133333333,1079.12,1382.56,1169.52,1172.8,1213.6,1281.12,1123.92,1136.16
3,1253.357,1105.68,1040.56,1064.64,1056.08,1025.12,1065.92,1015.6,1013.84
4,1268.347,1073.04,1068.24,1043.36,1037.2,1035.2,1049.92,1015.6,1217.92
5,1254.20466666667,1075.6,1154.88,1075.2,1056.64,1074.4,1085.04,1036.16,1034.88
6,1272.29333333333,1114.72,1194.32,1102.48,1066.48,1046.64,1071.04,1037.52,1027.6
7,1259.941,1132.32,1055.6,1125.52,1098.16,1199.84,1242.72,1188.4,1017.6
8,1270.14833333333,1100.4,1098.64,1125.52,1125.76,1084.56,1044.48,1038.8,1029.6
9,1268.27566666667,1092.72,1055.6,1365.12,1304.88,1116.88,1074.56,1045.36,1019.84
10,1273.22066666667,1082.24,1032.16,1118.64,1068.56,1111.6,1056,1080,1049.52
11,1283.38066666667,1059.2,1065.52,1150.64,1090.8,1110.56,1080.88,1069.44,1041.12
12,1284.14833333333,1080.24,1050.32,1123.6,1093.84,1088.4,1069.36,1042.96,1039.92
13,1275.828,1049.76,1038.4,1113.12,1063.12,1039.52,1081.36,1102.24,1058.24
14,1287.04033333333,1095.36,1129.92,1108.32,1063.12,1038.16,1050,1065.6,1060.88
15,1258.563,1059.2,1431.84,1129.84,1057.6,1072.72,1045.92,1028.64,1036.64
16,1270.886,1095.28,1218.32,1132.32,1052.32,1075.68,1071.92,1019.52,1036.64
17,1238.29633333333,1074.32,1245.44,1195.28,1074.96,1091.36,1103.04,1028.32,1039.36
18,1242.85333333333,1072.88,1070.32,1063.04,1100.48,1089.68,1100.24,1037.44,1023.52
19,1239.08166666667,1053.28,1181.12,1134.8,1041.28,1090.8,1077.12,1040.56,1035.6
20,1251.446,1046.88,1175.04,1067.6,1067.6,1092.72,1065.92,1048.16,1049.44
21,1243.991,1080.48,1218.32,1093.28,1050.8,1097.28,1042,1046.56,1015.44
22,1248.59266666667,1061.6,1182.32,1054.96,1096.56,1099.04,1048.4,1023.28,1026.08
23,1237.96466666667,1076.16,1105.44,1059.6,1075.68,1078.88,1045.6,1035.36,1022
24,1247.58533333333,1104.4,1024.16,1084.8,1074.4,1125.28,1049.52,1041.76,1024.8
25,1248.78533333333,1060.16,1129.36,1095.28,1099.52,1117.68,1060.88,1033.44,1026.8
26,1255.452,1078.64,1081.2,1118.72,1057.84,1096.08,1054.24,1018.08,1031.44
27,1250.379,1065.52,1072.96,1097.6,1098.8,1078.16,1031.04,1063.36,1037.04
28,1241.052,1071.28,1089.68,1230.8,1056.32,1067.52,1020.08,1026.32,1054
29,1259.46666666667,1071.04,1114.16,1100.48,1083.44,1096.24,1092.4,1043.76,1012.32
30,1246.782,1060.64,1060.56,1121.68,1129.2,1107.04,1033.12,1036.56,1027.04
31,1257.22366666667,1075.68,1052.96,1041.68,1128.64,1109.84,1063.04,1029.04,1051.12
32,1255.97633333333,1075.52,1038.88,1053.28,1141.76,1076.16,1047.68,1066.08,1049.2
33,1243.38366666667,1033.76,1050.32,1134.56,1101.76,1086.72,1028.88,1044.24,1059.28
34,1253.366,1090.24,1048.72,1061.2,1059.12,1042.56,1085.12,1084.8,1039.68
35,1247.22366666667,1076.4,1044.96,1137.92,1079.44,1113.6,1105.36,1033.52,1027.04
36,1243.41933333333,1049.2,1081.76,1142.24,1090.16,1056.48,1079.44,1068.8,1044.88
37,1248.50066666667,1097.12,1114.24,1116.16,1071.04,1107.52,1092,1033.04,1025.84
38,1245.42233333333,1048.16,1066.72,1178.8,1092.4,1080.88,1066.72,1090.56,1039.36
39,1260.086,1065.52,1083.28,1124.96,1051.76,1117.12,1037.6,1081.28,1025.36
40,1244.779,1066.8,1105.52,1138.16,1060.16,1090.8,1070.08,1026.32,1032.96
41,1274.35566666667,1073.2,1078.4,1115.36,1113.44,1060.56,1086.08,1032.32,1051.04
42,1249.76033333333,1051.12,1084.56,1150.16,1140.8,1101.12,1051.28,1064.32,1022.24
