Emission wavelength [nm],ACE 1,ACE 2,ACE 3
421,0,916.4,1974.8
430,0,2837.8,5720.9
440,447.1,7140.4,13409
450,1723.1,11761.6,21542.6
460,4505.3,19443.1,34167.1
469,7282.5,26871.2,44157.6
479,11672.4,35216.3,54095
489,14431.1,43013.6,58170.3
499,20722.7,53405,65535
508,25323.9,60649.7,64333.8
518,33994,65535,63272.2
528,43381.8,64842.7,60311.7
538,53657.7,62553.3,58379.6
547,60203.6,57371.9,54674.3
557,65535,53285.5,51919.4
567,60879,45613.9,44434.4
577,59327.9,40809.8,40379.2
586,53372.4,34739.2,34401.6
596,50736.6,30665.2,30950.5
606,43206.1,25046.4,25439.5
616,38631.8,21283.4,21979.8
625,32269.8,17061.6,17840.6
635,27535.3,14075.9,14862
645,22172.2,10934.3,11830.3
655,18115.5,8681.9,9490.6
664,14696.4,6865,7640.3
674,12138,5515.2,6215.2
684,9138.3,4062.8,4704.2
694,7172.8,3127.2,3658.9
703,5337.7,2307.9,2743.4
713,4075.2,1732.7,2105.5
723,3026,1254.9,1553.7
