Distance,Intensity Ch1
0,4338
0.076,4364
0.152,4700
0.228,4406
0.304,4854
0.38,4744
0.456,5079
0.532,5124
0.608,5470
0.685,5750
0.761,6216
0.837,6386
0.913,6407
0.989,6366
1.065,6430
1.141,7235
1.217,10831
1.293,17716
1.369,31140
1.445,40064
1.521,46468
1.597,46361
1.673,44080
1.749,37797
1.825,32628
1.901,29997
1.978,27189
2.054,24422
2.13,21043
2.206,18207
2.282,16150
2.358,13736
2.434,13124
2.51,12760
2.586,12933
2.662,11804
2.738,10776
2.814,8673
2.89,8269
2.966,7985
3.042,7604
3.118,6473
3.194,6225
3.271,6086
3.347,5991
3.423,5668
3.499,5159
