Distance,Intensity Ch1
0,4218
0.075,4225
0.15,4378
0.225,4540
0.3,4452
0.375,4565
0.45,4740
0.525,4886
0.6,4978
0.675,5028
0.75,5145
0.825,5378
0.9,5591
0.975,5972
1.05,6282
1.125,6418
1.2,6468
1.275,7339
1.35,6997
1.425,7035
1.5,8044
1.574,11249
1.649,17612
1.724,29574
1.799,38926
1.874,46925
1.949,47518
2.024,41535
2.099,40859
2.174,38809
2.249,36290
2.324,30953
2.399,29327
2.474,28017
2.549,25036
2.624,24912
2.699,24690
2.774,25679
2.849,22297
2.924,18929
2.999,15639
3.074,14142
3.149,12529
3.224,12920
3.299,12981
3.374,10987
3.449,9425
3.524,8647
3.599,8200
3.674,7602
3.749,6606
3.824,6728
3.899,6650
3.974,6281
4.049,5839
4.124,6016
4.199,5480
4.274,5474
4.349,5199
4.424,5184
4.499,4972
